person_id,timestamp,x,y
personFlow2.0,2.95,268.793,187.771
personFlow1.0,3,266.84,170.686
personFlow2.0,3,268.723,187.766
personFlow1.0,3.05,266.84,170.739
personFlow2.0,3.05,268.656,187.762
personFlow1.0,3.1,266.84,170.798
personFlow2.0,3.1,268.584,187.758
personFlow1.0,3.15,266.84,170.858
personFlow2.0,3.15,268.521,187.754
personFlow1.0,3.2,266.84,170.91
personFlow2.0,3.2,268.461,187.75
personFlow1.0,3.25,266.84,170.974
personFlow2.0,3.25,268.402,187.747
personFlow1.0,3.3,266.84,171.034
personFlow2.0,3.3,268.339,187.743
personFlow1.0,3.35,266.84,171.094
personFlow2.0,3.35,268.275,187.739
personFlow1.0,3.4,266.84,171.155
personFlow2.0,3.4,268.208,187.735
personFlow1.0,3.45,266.84,171.211
personFlow2.0,3.45,268.144,187.731
personFlow1.0,3.5,266.84,171.269
personFlow2.0,3.5,268.073,187.726
personFlow1.0,3.55,266.84,171.323
personFlow2.0,3.55,268.01,187.722
personFlow1.0,3.6,266.84,171.377
personFlow2.0,3.6,267.951,187.719
personFlow1.0,3.65,266.84,171.435
personFlow2.0,3.65,267.879,187.714
personFlow1.0,3.7,266.84,171.488
personFlow2.0,3.7,267.819,187.711
personFlow1.0,3.75,266.84,171.547
personFlow2.0,3.75,267.76,187.707
personFlow1.0,3.8,266.84,171.61
personFlow2.0,3.8,267.692,187.703
personFlow1.0,3.85,266.84,171.664
personFlow2.0,3.85,267.626,187.699
personFlow1.0,3.9,266.84,171.725
personFlow2.0,3.9,267.554,187.694
personFlow1.0,3.95,266.84,171.781
personFlow2.0,3.95,267.495,187.69
personFlow1.0,4,266.84,171.846
personFlow2.0,4,267.429,187.686
personFlow1.0,4.05,266.84,171.9
personFlow2.0,4.05,267.363,187.682
personFlow1.0,4.1,266.84,171.963
personFlow2.0,4.1,267.303,187.679
